time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,stationName,active
2020-11-02T10:16:50.715Z,54.1971,-159.9379,13.4,2.6,ml,,,,0.6,ak,ak020e3w1jiy,2020-11-02T22:57:52.986Z,"131 km SSE of Sand Point, Alaska",earthquake,,5.1,,,reviewed,ak,ak,tram xxx,1
2020-11-02T09:48:07.140Z,18.1298,-67.101,21,2.7,md,15,123,0.0484,0.22,pr,pr2020307004,2020-11-02T10:10:46.756Z,"3 km ESE of Hormigueros, Puerto Rico",earthquake,0.49,0.74,0.15,8,reviewed,pr,pr,tram xxx,1
2020-11-02T09:16:10.076Z,61.7202,-150.2026,250,2.6,ml,,,,0.87,ak,ak020e3vfxt9,2020-11-02T09:21:38.369Z,"9 km WSW of Willow, Alaska",earthquake,,3.3,,,automatic,ak,ak,tram xxx,1
2020-11-02T09:10:39.391Z,-43.1727,170.8671,11.65,3.9,ml,,142,0.558,0.36,us,us7000c9g4,2020-11-02T22:07:31.461Z,"51 km S of Hokitika, New Zealand",earthquake,1.9,4.5,0.097,14,reviewed,us,us,tram xxx,1
2020-11-02T09:04:50.847Z,-13.2948,167.1549,182.42,5,mb,,96,2.14,0.75,us,us7000c97j,2020-11-02T09:24:36.040Z,"77 km NNW of Sola, Vanuatu",earthquake,11.2,7.1,0.074,59,reviewed,us,us,tram xxx,1
2020-11-02T09:00:26.170Z,31.5508333,-115.7263333,-0.58,2.53,ml,7,135,0.1664,0.1,ci,ci39453951,2020-11-02T15:27:31.703Z,"82km ESE of Maneadero, B.C., MX",earthquake,0.54,1.61,0.145,43,reviewed,ci,ci,tram xxx,1
2020-11-02T08:59:48.560Z,19.18416667,-155.6518333,0.92,2.58,ml,46,107,,0.16,hv,hv72213606,2020-11-03T03:11:23.295Z,"13 km NNW of Wai‘ōhinu, Hawaii",earthquake,0.24,0.34,0.126852447,16,reviewed,hv,hv,tram xxx,1
2020-11-02T08:09:53.208Z,2.4459,126.8813,10,4.7,mb,,58,1.732,0.73,us,us7000c96y,2020-11-02T09:47:43.040Z,"148 km WNW of Tobelo, Indonesia",earthquake,8,1.8,0.079,50,reviewed,us,us,tram xxx,1
2020-11-02T07:33:35.900Z,17.943,-66.9646,13,3.02,md,21,208,0.0839,0.17,pr,pr2020307003,2020-11-02T08:44:18.760Z,Puerto Rico region,earthquake,0.74,0.31,0.2,12,reviewed,pr,pr,tram xxx,1
2020-11-02T05:10:46.202Z,-31.8687,-67.0625,120.85,4.6,mb,,72,1.419,1.22,us,us7000c95h,2020-11-02T07:09:20.040Z,"105 km NNW of Villa General Roca, Argentina",earthquake,7.5,12.6,0.141,15,reviewed,us,us,tram xxx,1
2020-11-02T05:01:06.260Z,8.6678,-40.1199,10,4.8,mb,,73,12.926,0.73,us,us7000c95g,2020-11-02T06:16:04.040Z,central Mid-Atlantic Ridge,earthquake,10.7,1.9,0.048,132,reviewed,us,us,tram xxx,1
2020-11-02T04:30:11.580Z,17.9585,-66.9751,6,2.87,md,20,201,0.07,0.13,pr,pr2020307000,2020-11-02T04:59:46.789Z,"7 km WSW of Fuig, Puerto Rico",earthquake,0.49,0.25,0.33,17,reviewed,pr,pr,tram xxx,1
2020-11-02T03:56:11.609Z,55.0018,-160.3894,41.14,4.4,mwr,,147,0.351,1.16,us,us7000c954,2020-11-02T05:46:02.039Z,"37 km S of Sand Point, Alaska",earthquake,7,5.9,0.08,15,reviewed,us,us,tram xxx,1
2020-11-02T03:40:25.355Z,19.6514,-108.6796,10,4.4,mb,,133,6.491,1.14,us,us7000c951,2020-11-02T04:34:00.040Z,Revilla Gigedo Islands region,earthquake,9.8,1.9,0.033,265,reviewed,us,us,tram xxx,1
2020-11-02T03:26:49.183Z,17.6011,-101.4747,35,4.1,mb,,222,2.048,1.09,us,us7000c94w,2020-11-02T04:27:10.040Z,"2 km SW of Colonia Aeropuerto, Mexico",earthquake,10.6,2,0.066,63,reviewed,us,us,tram xxx,1
2020-11-02T03:14:53.750Z,31.5308333,-115.6555,6.21,2.52,ml,11,221,0.1771,0.11,ci,ci39453791,2020-11-02T04:16:40.040Z,"89km ESE of Maneadero, B.C., MX",earthquake,0.5,1.52,0.116,42,reviewed,ci,ci,tram xxx,1
2020-11-02T03:09:41.240Z,60.4668,-142.7667,0,2.8,ml,,,,0.69,ak,ak020e3rtv1z,2020-11-02T03:28:10.040Z,"108 km S of McCarthy, Alaska",earthquake,,0.3,,,automatic,ak,ak,tram xxx,1
2020-11-02T02:20:34.320Z,36.0253334,-120.5916672,4.33,2.88,md,44,123,0.04635,0.08,nc,nc73477136,2020-11-02T16:01:02.803Z,"20km NW of Parkfield, CA",earthquake,0.21,0.28,0.13,58,automatic,nc,nc,tram xxx,1
2020-11-02T02:05:40.880Z,37.6385002,-119.3873367,9.95,2.53,md,21,146,0.2446,0.05,nc,nc73477121,2020-11-02T17:20:04.744Z,"20km SE of Yosemite Valley, CA",earthquake,0.41,1.84,0.3,16,automatic,nc,nc,tram xxx,1
2020-11-02T01:17:08.596Z,25.1285,66.595,10,4.5,mb,,156,9.425,1.16,us,us7000c946,2020-11-02T12:18:56.616Z,"13 km W of Gadani, Pakistan",earthquake,10.8,2,0.083,42,reviewed,us,us,tram xxx,1
2020-11-02T01:10:44.310Z,31.5278333,-115.663,7.86,2.66,ml,13,176,0.1709,0.07,ci,ci39453671,2020-11-02T18:30:29.389Z,"88km ESE of Maneadero, B.C., MX",earthquake,0.25,0.6,0.149,63,reviewed,ci,ci,tram xxx,1
2020-11-01T23:09:35.397Z,38.9744,21.5078,10,4.8,mb,,42,1.518,0.87,us,us7000c93g,2020-11-02T13:47:47.569Z,"11 km WSW of Kerasochóri, Greece",earthquake,6.1,1.9,0.057,95,reviewed,us,us,tram xxx,1
2020-11-01T22:41:44.922Z,55.4612,-158.1981,4.8,4.2,ml,,,,0.57,ak,ak020e2fsm8g,2020-11-03T03:14:28.040Z,"77 km SE of Perryville, Alaska",earthquake,,1.4,,,reviewed,ak,ak,tram xxx,1
2020-11-01T22:39:27.716Z,54.5648,-159.7022,35,4.3,mb,,152,0.274,0.76,us,us7000c932,2020-11-03T00:55:34.191Z,"99 km SSE of Sand Point, Alaska",earthquake,6,2,0.081,43,reviewed,us,us,tram xxx,1
2020-11-01T22:17:00.738Z,-18.1011,168.2959,35,4.8,mb,,72,2.839,0.51,us,us7000c92v,2020-11-03T00:23:18.790Z,"40 km S of Port-Vila, Vanuatu",earthquake,5.7,2,0.097,33,reviewed,us,us,tram xxx,1
2020-11-01T21:45:51.875Z,-19.9519,-71.0778,14.11,4.1,mwr,,165,0.965,0.44,us,us7000c927,2020-11-03T00:05:32.040Z,"101 km WNW of Iquique, Chile",earthquake,5.5,4.1,0.058,29,reviewed,us,us,tram xxx,1
2020-11-01T21:19:40.084Z,23.2124,-45.1364,10,4.9,mb,,105,17.06,0.7,us,us7000c91s,2020-11-02T23:49:33.040Z,northern Mid-Atlantic Ridge,earthquake,12.3,1.9,0.071,62,reviewed,us,us,tram xxx,1
2020-11-01T21:04:39.770Z,17.9026,-66.8526,12,2.46,md,15,207,0.0772,0.17,pr,pr2020306015,2020-11-01T21:25:38.528Z,"9 km SSE of Maria Antonia, Puerto Rico",earthquake,0.65,0.42,0.23,14,reviewed,pr,pr,tram xxx,1
2020-11-01T19:55:53.760Z,17.8916,-66.8511,12,2.48,md,15,230,0.0881,0.14,pr,pr2020306013,2020-11-01T20:20:46.616Z,"10 km SSE of Maria Antonia, Puerto Rico",earthquake,0.57,0.35,0.24,10,reviewed,pr,pr,tram xxx,1
